player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Erling Haaland,Man City,FWD,14.7,83,13,10.4,66.3,11,1,683,5,5,0,0,0,0,0,0,20,402.2,57.0,472.0,93.2,12.3,4,0.8,5.6,5271234,632995,296573,3741,0.7,-0.7,0.1,-0.1,8.62,0.59,9.21,8.0,8,1,15,14,30,3.95,,1,1,142,13,1,1,1,1,,,5.0,,1.0,,1.14,0.0,0.08,1.22,1.05,0.66,1,1,1,1,1,1,1,1,1.05,0.66
Antoine Semenyo,Bournemouth,MID,8.0,70,4,8.8,63.6,6,4,720,3,11,0,0,0,0,2,0,9,311.6,135.4,239.0,68.7,9.7,3,1.2,8.8,6944412,546101,168932,11391,1.0,-1.0,0.0,0.0,3.78,0.4,4.18,10.78,8,13,8,42,63,7.88,,2,1,45,36,5,2,2,1,,,,,3.0,,0.47,0.0,0.05,0.52,1.35,1.38,15,10,3,1,2,1,2,1,1.0,0.38
Gabriel Gabriel,Arsenal,DEF,6.4,59,12,7.4,33.8,1,1,720,5,3,0,0,0,0,0,0,8,234.0,24.7,71.0,33.0,11.3,2,1.8,9.2,2511157,775273,280058,7648,0.4,-0.4,0.1,-0.1,0.72,0.11,0.83,4.84,8,10,65,14,75,9.38,,7,3,251,79,94,15,64,14,,,,,,,0.09,0.0,0.01,0.1,0.6,0.38,64,1,2,1,3,1,6,1,1.0,0.62
Jurriën J.Timber,Arsenal,DEF,6.0,54,6,6.8,20.9,2,2,611,4,3,0,0,0,0,2,0,7,207.8,154.9,189.0,55.3,6.3,2,1.0,9.0,2412641,465110,129670,21395,0.5,-0.5,0.1,-0.1,1.89,0.56,2.45,3.74,7,27,22,23,49,7.22,,19,7,35,5,14,1,10,1,,,,,,,0.28,0.0,0.08,0.36,0.55,0.44,86,4,19,7,5,3,16,7,1.03,0.59
Marc Guéhi,Crystal Palace,DEF,4.9,50,4,6.2,31.9,1,3,720,3,8,0,0,0,0,0,0,3,196.2,76.5,92.0,36.5,4.7,1,1.0,10.2,2810887,542401,69002,41937,0.4,-0.4,0.0,0.0,0.8,0.97,1.77,10.88,8,16,47,29,63,7.88,,29,11,99,23,66,7,46,8,,,,,,,0.1,0.0,0.12,0.22,1.36,1.0,311,49,47,19,9,5,9,3,1.0,0.38
Marcos Senesi,Bournemouth,DEF,5.0,48,2,6.0,26.5,0,2,707,3,11,0,0,0,0,2,0,6,271.0,68.1,29.0,36.9,3.7,1,0.7,9.6,3264166,301485,88872,33112,0.5,-0.5,0.0,0.0,0.16,1.1,1.26,10.5,8,14,94,30,108,13.75,,3,1,118,27,215,59,43,7,,,,,,,0.02,0.0,0.14,0.16,1.34,1.4,261,40,80,32,12,7,12,4,1.02,0.38
Robin Roefs,Sunderland,GKP,4.6,48,7,6.0,5.6,0,0,720,4,6,0,1,0,27,1,0,6,231.4,20.0,0.0,25.0,6.3,2,1.4,10.4,688062,139739,50367,8735,0.1,-0.1,0.0,0.0,0.0,0.01,0.01,9.59,8,0,7,78,0,0.0,,8,2,274,1,640,68,118,2,,,,,,,0.0,3.38,0.0,0.0,1.2,0.75,388,19,15,1,11,1,69,13,1.0,0.5
Riccardo Calafiori,Arsenal,DEF,5.8,48,6,6.0,14.9,1,2,614,5,3,0,0,0,0,3,0,3,118.0,74.4,127.0,31.9,4.3,2,0.7,8.3,1820698,538755,47034,28092,0.3,-0.3,0.1,-0.1,1.88,0.17,2.05,3.88,8,12,22,30,34,4.98,,115,55,108,24,41,3,68,17,,,,,,,0.28,0.0,0.02,0.3,0.57,0.44,116,10,62,26,16,9,23,9,1.17,0.73
Moisés Caicedo,Chelsea,MID,5.9,46,1,5.8,16.8,3,0,675,2,9,0,0,0,0,1,0,7,254.0,60.0,51.0,36.4,4.3,1,0.7,7.8,1804019,582994,191498,36780,0.4,-0.4,0.1,-0.1,0.53,0.25,0.78,11.73,7,28,33,41,102,13.6,,5,2,132,91,146,87,47,31,,,,,,,0.07,0.0,0.03,0.1,1.56,1.2,108,74,63,26,22,5,21,7,0.93,0.27
Daniel Muñoz,Crystal Palace,DEF,5.6,46,10,5.8,13.2,1,3,720,3,8,0,0,0,0,3,0,2,196.6,100.3,160.0,45.6,6.7,0,1.2,8.2,1222227,652453,69985,16013,0.1,-0.1,0.0,0.0,0.88,1.74,2.62,10.88,8,23,40,33,63,7.88,,28,10,73,18,22,2,22,2,,,,,,,0.11,0.0,0.22,0.33,1.36,1.0,130,12,13,6,21,13,29,10,1.0,0.38
Omar Alderete,Sunderland,DEF,4.1,45,6,5.6,7.0,1,1,667,3,6,0,0,0,0,1,0,4,228.4,38.6,77.0,34.4,7.7,1,1.9,11.0,874982,184179,31000,17556,0.1,-0.1,0.0,0.0,0.58,0.35,0.93,9.26,7,12,60,24,72,9.72,,11,5,202,57,83,11,57,11,,,,,,,0.08,0.0,0.05,0.13,1.25,0.81,610,159,8,5,23,14,58,17,0.94,0.4
Dan Burn,Newcastle,DEF,5.1,45,2,5.6,10.1,0,1,720,5,7,0,0,0,0,3,0,4,152.2,43.5,37.0,23.3,4.3,1,0.8,8.8,968923,271880,57588,24267,0.1,-0.1,0.0,0.0,0.05,0.18,0.23,5.89,8,12,56,29,68,8.5,,69,32,184,49,191,49,132,44,,,,,,,0.01,0.0,0.02,0.03,0.74,0.88,233,33,59,25,24,15,42,13,1.0,0.62
